pc ,smartphone,latency
2.760,3.162,0.402
7.110,7.532,0.422
9.290,9.712,0.422
11.470,11.892,0.422
13.640,14.062,0.422
15.850,16.272,0.422
18.020,18.442,0.422
20.220,20.642,0.422
22.410,22.832,0.422
24.590,25.012,0.422
26.750,27.172,0.422
28.920,29.342,0.422
31.110,31.492,0.382
33.300,33.682,0.382
35.490,35.892,0.402
37.680,38.082,0.402
39.850,40.252,0.402
42.040,42.442,0.402
44.210,44.611,0.401
46.380,46.781,0.401
48.560,48.961,0.401
50.750,51.151,0.401
52.940,53.341,0.401
55.110,55.511,0.401
57.300,57.701,0.401
59.480,59.881,0.401
61.650,62.051,0.401
63.830,64.231,0.401
66.010,66.411,0.401
68.210,68.611,0.401
